AIN,PropertyUseCode,GeneralUseType,SpecificUseType,YearBuilt,EffectiveYearBuilt,SQFTmain,Bedrooms,Bathrooms,RecordingDate,LandValue,LandBaseYear,ImprovementValue,ImpBaseYear,TotalLandImpValue,HouseNo,StreetName,City,ZIPcode5,CENTER_LAT,CENTER_LON
2074004031,100,Residential,Single Family Residence,1962,1964,1838,4,2,20150814,"$470,555.00",2015,"$117,638.00",2015,"$588,193.00",22972,AVENUE SAN LUIS,LOS ANGELES CA,91364,34.16207708,-118.6273683
2074005004,100,Residential,Single Family Residence,1956,1990,2522,4,4,20111104,"$356,603.00",2012,"$443,184.00",2012,"$799,787.00",4951,RIGOLETTO ST,LOS ANGELES CA,91364,34.16109349,-118.6262304
2074004033,100,Residential,Single Family Residence,1962,1962,1544,3,2,20100517,"$189,156.00",1988,"$105,539.00",1988,"$294,695.00",22946,CRESPI ST,LOS ANGELES CA,91364,34.16204876,-118.626783
2074004034,100,Residential,Single Family Residence,1960,1960,1673,3,2,20131127,"$498,019.00",2014,"$203,855.00",2014,"$701,874.00",22950,CRESPI ST,LOS ANGELES CA,91364,34.16171102,-118.6267893
2074004038,100,Residential,Single Family Residence,1954,1959,2005,3,1,20161020,"$327,420.00",2016,"$218,280.00",2016,"$545,700.00",22960,CRESPI ST,LOS ANGELES CA,91364,34.16210247,-118.6270758
2074004039,100,Residential,Single Family Residence,1964,1964,1888,3,2,20110516,"$465,396.00",2004,"$145,899.00",2004,"$611,295.00",22964,CRESPI ST,LOS ANGELES CA,91364,34.16176162,-118.6270489
2074005001,100,Residential,Single Family Residence,1956,1956,1372,3,2,20131106,"$340,369.00",2012,"$105,519.00",2012,"$445,888.00",4961,RIGOLETTO ST,LOS ANGELES CA,91364,34.16129147,-118.6255532
2074005003,100,Residential,Single Family Residence,1956,1956,1672,3,2,20060510,"$490,000.00",2006,"$122,000.00",2006,"$612,000.00",4955,RIGOLETTO ST,LOS ANGELES CA,91364,34.16119512,-118.626038
2074005005,100,Residential,Single Family Residence,1956,1956,1372,3,2,19921228,"$36,517.00",1975,"$43,897.00",1975,"$80,414.00",4947,RIGOLETTO ST,LOS ANGELES CA,91364,34.16088995,-118.6263564
2074005008,100,Residential,Single Family Residence,1956,1975,2403,4,3,20100611,"$441,880.00",2010,"$275,494.00",2010,"$717,374.00",4929,RIGOLETTO ST,LOS ANGELES CA,91364,34.16035471,-118.626544
2074005011,100,Residential,Single Family Residence,1956,1958,1892,3,2,20091118,"$94,830.00",1979,"$77,849.00",1979,"$172,679.00",4926,DUNMAN AVE,LOS ANGELES CA,91364,34.16027372,-118.6269276
2074005013,100,Residential,Single Family Residence,1956,1970,1927,4,2,20131206,"$35,254.00",1975,"$105,535.00",1975,"$140,789.00",4940,DUNMAN AVE,LOS ANGELES CA,91364,34.16064861,-118.6269099
2074005015,100,Residential,Single Family Residence,1956,1975,2630,5,3,20130522,"$328,656.00",2002,"$245,382.00",2002,"$574,038.00",4950,DUNMAN AVE,LOS ANGELES CA,91364,34.16115971,-118.6268831
2074005016,100,Residential,Single Family Residence,1956,1956,1390,4,2,20131220,"$35,041.00",1975,"$44,085.00",1975,"$79,126.00",4952,DUNMAN AVE,LOS ANGELES CA,91364,34.16118671,-118.6271118
2074006001,100,Residential,Single Family Residence,1956,1957,1828,3,2,20150910,"$523,260.00",2016,"$267,240.00",2016,"$790,500.00",22918,CALABASH ST,LOS ANGELES CA,91364,34.15966027,-118.6269029
2074006004,100,Residential,Single Family Residence,1956,1956,1641,4,3,20070212,"$265,262.00",1992,"$92,778.00",1992,"$358,040.00",22900,CALABASH ST,LOS ANGELES CA,91364,34.15972943,-118.6263088
2074006005,100,Residential,Single Family Residence,1956,1956,1450,4,2,20020417,"$325,854.00",2002,"$150,831.00",2002,"$476,685.00",22866,CALABASH ST,LOS ANGELES CA,91364,34.15975357,-118.626081
2074006006,100,Residential,Single Family Residence,1956,1971,1390,4,2,20030512,"$180,317.00",1997,"$83,131.00",1997,"$263,448.00",22858,CALABASH ST,LOS ANGELES CA,91364,34.15973773,-118.6258467
2074006010,100,Residential,Single Family Residence,1956,1956,1400,3,2,20141103,"$506,000.00",2007,"$127,000.00",2007,"$633,000.00",22832,CALABASH ST,LOS ANGELES CA,91364,34.15963887,-118.6250309
2074006014,100,Residential,Single Family Residence,1956,1956,1372,3,2,20081021,"$35,254.00",1975,"$43,897.00",1975,"$79,151.00",22806,CALABASH ST,LOS ANGELES CA,91364,34.15964582,-118.6241708
2074006017,100,Residential,Single Family Residence,1965,1965,2126,3,3,19960521,"$182,639.00",1996,"$189,508.00",1996,"$372,147.00",4906,DUNMAN AVE,LOS ANGELES CA,91364,34.15915728,-118.6267252
2074006024,100,Residential,Single Family Residence,1965,1965,2286,3,3,20160513,"$62,294.00",1975,"$130,165.00",1975,"$192,459.00",4822,BRUGES AVE,LOS ANGELES CA,91364,34.15845072,-118.6257105
2074006027,100,Residential,Single Family Residence,2002,2002,2622,4,3,20011023,"$178,200.00",2002,"$256,093.00",2003,"$434,293.00",4829,BRUGES AVE,LOS ANGELES CA,91364,34.1591651,-118.6254595
2074006028,100,Residential,Single Family Residence,1966,1975,2176,3,3,20120925,"$159,356.00",2013,"$228,128.00",2013,"$387,484.00",4835,BRUGES AVE,LOS ANGELES CA,91364,34.15917397,-118.6252355
2074007001,100,Residential,Single Family Residence,1956,1968,1901,3,2,20070129,"$270,692.00",1999,"$198,693.00",1999,"$469,385.00",22794,CALABASH ST,LOS ANGELES CA,91364,34.15966311,-118.6231756
2074007004,100,Residential,Single Family Residence,1956,1956,1810,3,2,19880726,"$36,095.00",1975,"$80,445.00",1975,"$116,540.00",22776,CALABASH ST,LOS ANGELES CA,91364,34.15966562,-118.6225186
2074007005,100,Residential,Single Family Residence,1956,1956,1540,4,2,20040114,"$134,193.00",1989,"$201,938.00",1989,"$336,131.00",22770,CALABASH ST,LOS ANGELES CA,91364,34.15968644,-118.6223006
2074007017,100,Residential,Single Family Residence,1956,1956,1372,3,2,19850927,"$89,208.00",1986,"$133,825.00",1986,"$223,033.00",22798,CALABASH ST,LOS ANGELES CA,91364,34.15965587,-118.6235804
2074007021,100,Residential,Single Family Residence,1959,1959,1246,3,2,20130308,"$43,673.00",1976,"$54,649.00",1976,"$98,322.00",22801,CASS AVE,LOS ANGELES CA,91364,34.15903245,-118.6226078
2074007023,100,Residential,Single Family Residence,1959,1977,1762,4,3,20000519,"$280,749.00",2000,"$129,629.00",2000,"$410,378.00",22817,CASS AVE,LOS ANGELES CA,91364,34.15862808,-118.6226929
2074007024,100,Residential,Single Family Residence,1959,1964,2060,3,2,19880505,"$160,156.00",1988,"$230,064.00",1988,"$390,220.00",22821,CASS AVE,LOS ANGELES CA,91364,34.1584132,-118.622697
2074007025,100,Residential,Single Family Residence,1959,1959,1246,3,2,20100519,"$389,272.00",2010,"$131,238.00",2010,"$520,510.00",22733,CAVALIER ST,LOS ANGELES CA,91364,34.15843459,-118.6230066
2074007027,100,Residential,Single Family Residence,1959,1959,1660,3,2,20031210,"$412,000.00",2004,"$234,000.00",2004,"$646,000.00",22751,CAVALIER ST,LOS ANGELES CA,91364,34.15888582,-118.6229838
2074008024,100,Residential,Single Family Residence,1959,1960,1766,3,2,20150626,"$526,061.00",2015,"$392,992.00",2015,"$919,053.00",4877,BRUGES AVE,LOS ANGELES CA,91364,34.15933461,-118.6240647
2074008025,100,Residential,Single Family Residence,1959,1964,1462,4,2,20041026,"$530,000.00",2005,"$133,000.00",2005,"$663,000.00",4873,BRUGES AVE,LOS ANGELES CA,91364,34.15917179,-118.6241809
2074008026,100,Residential,Single Family Residence,1959,1959,1246,3,2,20060626,"$110,053.00",1998,"$164,265.00",1998,"$274,318.00",4865,BRUGES AVE,LOS ANGELES CA,91364,34.15905632,-118.624361
